subjects,key,title,authors,covers,latest_revision,revision,type.key,created.type,created.value,last_modified.type,last_modified.value,subtitle,description,first_publish_date,lc_classifications,dewey_number,subject_places,subject_people,description.type,description.value,subject_times
"['Vampires', 'Fiction', 'Fiction, fantasy, historical']",/works/OL15168890W,By Blood We Live,"[{'author': {'key': '/authors/OL7207957A'}, 'type': {'key': '/type/author_role'}}, {'author': {'key': '/authors/OL53305A'}, 'type': {'key': '/type/author_role'}}, {'author': {'key': '/authors/OL39486A'}, 'type': {'key': '/type/author_role'}}, {'author': {'key': '/authors/OL23207A'}, 'type': {'key': '/type/author_role'}}, {'author': {'key': '/authors/OL7202539A'}, 'type': {'key': '/type/author_role'}}, {'author': {'key': '/authors/OL3003153A'}, 'type': {'key': '/type/author_role'}}, {'author': {'key': '/authors/OL3023955A'}, 'type': {'key': '/type/author_role'}}, {'author': {'key': '/authors/OL382982A'}, 'type': {'key': '/type/author_role'}}, {'author': {'key': '/authors/OL2711187A'}, 'type': {'key': '/type/author_role'}}, {'author': {'key': '/authors/OL246532A'}, 'type': {'key': '/type/author_role'}}, {'author': {'key': '/authors/OL381615A'}, 'type': {'key': '/type/author_role'}}, {'author': {'key': '/authors/OL3042054A'}, 'type': {'key': '/type/author_role'}}, {'author': {'key': '/authors/OL1606907A'}, 'type': {'key': '/type/author_role'}}, {'author': {'key': '/authors/OL9689655A'}, 'type': {'key': '/type/author_role'}}, {'author': {'key': '/authors/OL220575A'}, 'type': {'key': '/type/author_role'}}, {'author': {'key': '/authors/OL40965A'}, 'type': {'key': '/type/author_role'}}, {'author': {'key': '/authors/OL18722A'}, 'type': {'key': '/type/author_role'}}, {'author': {'key': '/authors/OL7752487A'}, 'type': {'key': '/type/author_role'}}, {'author': {'key': '/authors/OL23918A'}, 'type': {'key': '/type/author_role'}}, {'author': {'key': '/authors/OL9080029A'}, 'type': {'key': '/type/author_role'}}, {'author': {'key': '/authors/OL397402A'}, 'type': {'key': '/type/author_role'}}, {'author': {'key': '/authors/OL1394972A'}, 'type': {'key': '/type/author_role'}}, {'author': {'key': '/authors/OL2645208A'}, 'type': {'key': '/type/author_role'}}, {'author': {'key': '/authors/OL36575A'}, 'type': {'key': '/type/author_role'}}, {'author': {'key': '/authors/OL1432654A'}, 'type': {'key': '/type/author_role'}}, {'author': {'key': '/authors/OL2711189A'}, 'type': {'key': '/type/author_role'}}, {'author': {'key': '/authors/OL7159378A'}, 'type': {'key': '/type/author_role'}}, {'author': {'key': '/authors/OL340770A'}, 'type': {'key': '/type/author_role'}}, {'author': {'key': '/authors/OL33124A'}, 'type': {'key': '/type/author_role'}}, {'author': {'key': '/authors/OL577531A'}, 'type': {'key': '/type/author_role'}}, {'author': {'key': '/authors/OL24812A'}, 'type': {'key': '/type/author_role'}}]",[6426138],6,6,/type/work,/type/datetime,2010-06-28T01:51:41.310258,/type/datetime,2023-05-26T17:08:55.936426,,,,,,,,,,
,/works/OL34971926W,Neverwhere,"[{'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL53305A'}}, {'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL7992934A'}}]",[13921349],2,2,/type/work,/type/datetime,2023-04-13T02:59:43.364787,/type/datetime,2023-05-18T15:50:54.692481,,,,,,,,,,
,/works/OL35052442W,La última tentación,"[{'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL53305A'}}, {'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL9887914A'}}]",[14022824],2,2,/type/work,/type/datetime,2023-04-15T18:25:29.580405,/type/datetime,2023-05-18T15:50:54.692481,,,,,,,,,,
,/works/OL35052472W,Esposas prohibidas de siervos sin rostro,"[{'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL53305A'}}, {'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL8154081A'}}, {'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL9887914A'}}]",[14022878],2,2,/type/work,/type/datetime,2023-04-15T18:27:06.008100,/type/datetime,2023-05-18T15:50:54.692481,,,,,,,,,,
,/works/OL34989693W,American Gods Sombras Tomo nº 01/03,"[{'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL53305A'}}, {'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL7992933A'}}, {'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL1398733A'}}, {'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL7040892A'}}]",[13944926],2,2,/type/work,/type/datetime,2023-04-13T18:40:50.340106,/type/datetime,2023-05-18T15:50:54.692481,,,,,,,,,,
,/works/OL34971923W,Los hijos de Anansi,"[{'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL53305A'}}, {'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL7992934A'}}]",[13921346],2,2,/type/work,/type/datetime,2023-04-13T02:59:36.536032,/type/datetime,2023-05-18T15:50:54.692481,,,,,,,,,,
,/works/OL35166343W,Coraline,"[{'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL53305A'}}, {'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL12637877A'}}]",[14171423],2,2,/type/work,/type/datetime,2023-04-19T11:52:32.000959,/type/datetime,2023-05-18T15:50:54.692481,,,,,,,,,,
,/works/OL35052410W,El puente del Troll,"[{'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL53305A'}}, {'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL6456573A'}}, {'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL9887914A'}}]",[14022787],2,2,/type/work,/type/datetime,2023-04-15T18:24:34.057457,/type/datetime,2023-05-18T15:50:54.692481,,,,,,,,,,
,/works/OL34904042W,Lovecraft's Monsters,"[{'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL53305A'}}, {'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL7161310A'}}, {'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL9156684A'}}]",[13710809],2,2,/type/work,/type/datetime,2023-03-20T14:58:06.826086,/type/datetime,2023-05-18T15:50:54.692481,,,,,,,,,,
,/works/OL35257256W,Trigger Warning,"[{'type': {'key': '/type/author_role'}, 'author': {'key': '/authors/OL53305A'}}]",[14290096],2,2,/type/work,/type/datetime,2023-04-21T12:00:42.741368,/type/datetime,2023-05-18T15:50:54.692481,,,,,,,,,,
