Date,Open,High,Low,Close,Adj Close,Volume
1/2/23,122.82,130.330002,122.279999,130.020004,130.020004,120957200
1/9/23,131.160004,137.679993,127.150002,136.979996,136.979996,133938000
1/16/23,136.179993,139.940002,132.139999,139.369995,139.369995,98676900
1/23/23,139.289993,153.190002,138.660004,151.740005,151.740005,137316300
1/30/23,149.410004,197.160004,146.949997,186.529999,186.529999,340828600
2/6/23,186.529999,193.779999,173.350006,174.149994,174.149994,196256000
2/13/23,178.220001,181.509995,169.699997,172.880005,172.880005,130805500
2/20/23,174.309998,178.169998,167.660004,170.389999,170.389999,96834900
2/27/23,171.880005,186.619995,169.059998,185.25,185.25,159556200
3/6/23,188,190.360001,178.800003,179.509995,179.509995,141591100
3/13/23,177.960007,205.759995,174.820007,195.610001,195.610001,209082400
3/20/23,198.479996,207.880005,193.639999,206.009995,206.009995,140597200
3/27/23,204.809998,212.169998,197.899994,211.940002,211.940002,104554200
4/3/23,208.839996,216.940002,208.199997,216.100006,216.100006,84452000
4/10/23,214.710007,222.110001,210.660004,221.490005,221.490005,96690000
4/17/23,219.789993,220.979996,209.580002,212.889999,212.889999,77853600
4/24/23,213.679993,241.690002,207.130005,240.320007,240.320007,187692300
5/1/23,238.619995,244.919998,229.850006,232.779999,232.779999,132826200
5/8/23,231.419998,238.210007,230.270004,233.809998,233.809998,88989400
5/15/23,236.919998,248.690002,235.330002,245.639999,245.639999,104553200
5/22/23,245.410004,262.309998,244.949997,262.040009,262.040009,111309500
