Date,Open,High,Low,Close,Adj Close,Volume
1/2/23,89.830002,91.550003,85.57,88.160004,88.160004,97533700
1/9/23,89.195,92.980003,86.699997,92.800003,92.800003,113236000
1/16/23,92.779999,99.419998,90.839996,99.279999,99.279999,124989900
1/23/23,99.129997,101.580002,95.262001,100.709999,100.709999,143746600
1/30/23,98.745003,108.82,97.519997,105.220001,105.220001,156510500
2/6/23,102.684998,108.669998,93.860001,94.860001,94.860001,279981700
2/13/23,95.010002,97.879997,92.650002,94.589996,94.589996,189331400
2/20/23,93.239998,93.415001,88.860001,89.349998,89.349998,121977600
2/27/23,90.089996,94.110001,89.519997,94.019997,94.019997,133166200
3/6/23,94.360001,96.300003,90.800003,91.010002,91.010002,135073900
3/13/23,90.565002,103.489998,89.940002,102.459999,102.459999,232819600
3/20/23,101.059998,107.510002,100.790001,106.059998,106.059998,148115600
3/27/23,105.32,105.400002,100.279999,104,104,129573000
4/3/23,102.669998,109.629997,102.379997,108.900002,108.900002,97645500
4/10/23,107.389999,109.580002,104.970001,109.459999,109.459999,103633800
4/17/23,105.43,107.050003,103.800003,105.910004,105.910004,108311100
4/24/23,106.050003,109.150002,103.269997,108.220001,108.220001,152080300
5/1/23,107.720001,108.68,104.5,106.214996,106.214996,98871600
5/8/23,105.794998,118.440002,105.790001,117.919998,117.919998,177969500
5/15/23,116.489998,126.478996,116.480003,123.25,123.25,138403400
5/22/23,123.510002,127.050003,120.75,125.43,125.43,136293400
